date,open,close,high,low,volume,amount
2025-06-13,6.81,6.89,6.98,6.77,695855,479222767.88
2025-06-16,6.97,6.87,7.05,6.8,539989,374129760.16
2025-06-17,6.77,6.91,6.93,6.67,439379,299145258.37
2025-06-18,6.97,6.78,7.03,6.75,353990,242403610.56
2025-06-19,6.72,6.88,7.0,6.58,595230,404261170.25
2025-06-20,6.88,6.64,6.88,6.63,358937,240900775.3
2025-06-23,6.8,6.84,6.88,6.66,426143,289056289.49
2025-06-24,6.5,6.52,6.59,6.38,514309,335064671.32
2025-06-25,6.5,6.58,6.65,6.46,283337,185579414.8
2025-06-26,6.55,6.64,6.7,6.55,300484,199801806.33
2025-06-27,6.61,6.53,6.64,6.52,227178,149119308.86
2025-06-30,6.54,6.56,6.57,6.51,192838,126061399.5
2025-07-01,6.56,6.72,6.74,6.53,269706,179748946.79
2025-07-02,6.92,6.9,7.16,6.8,705993,490385337.33
2025-07-03,6.91,6.76,6.94,6.75,344945,234915254.66
2025-07-04,6.74,6.63,6.76,6.63,226715,151201324.25
2025-07-07,6.63,6.72,6.72,6.56,151364,101079913.82
2025-07-08,6.7,6.77,6.78,6.66,193500,130110233.19
2025-07-09,6.74,6.85,6.99,6.74,316758,218065947.53
2025-07-10,6.86,7.0,7.02,6.86,412554,287275594.16
2025-07-11,6.98,6.97,7.02,6.88,247873,172378093.85
2025-07-14,6.99,6.92,7.02,6.9,176489,122641446.26
2025-07-15,6.9,6.81,6.91,6.75,191304,130165223.98
2025-07-16,6.81,6.8,6.87,6.76,132206,89987343.4
2025-07-17,6.79,6.78,6.82,6.73,156529,105934792.38
2025-07-18,6.8,6.82,6.82,6.73,160620,108715189.13
2025-07-21,6.88,6.94,6.98,6.86,207683,143767488.0
2025-07-22,6.98,7.22,7.27,6.92,423322,301768799.18
2025-07-23,7.18,7.16,7.29,7.11,344737,247932687.44
2025-07-24,7.13,7.15,7.18,7.11,181582,129560524.86
2025-07-25,7.16,7.1,7.2,7.07,171358,121955483.2
2025-07-28,7.07,7.05,7.13,7.0,164651,116092594.09
2025-07-29,7.05,7.06,7.06,6.93,119810,83869547.98
2025-07-30,7.05,7.1,7.21,7.05,251910,179371384.0
2025-07-31,7.05,6.89,7.07,6.87,226504,157776715.46
2025-08-01,6.89,6.89,6.92,6.85,107336,73870863.46
2025-08-04,6.82,6.87,6.88,6.71,137763,94012812.57
2025-08-05,6.87,6.91,6.94,6.87,132739,91552220.32
2025-08-06,6.91,7.03,7.06,6.89,185099,129604718.47
2025-08-07,7.0,6.96,7.01,6.93,126444,88027108.77
2025-08-08,6.93,6.95,7.03,6.92,96517,67195779.22
2025-08-11,6.95,7.01,7.09,6.93,167818,117869271.17
2025-08-12,7.0,6.96,7.05,6.95,148409,103722551.23
2025-08-13,6.96,6.92,7.04,6.89,153671,106617949.35
2025-08-14,6.93,6.84,6.95,6.83,134935,92741788.42
2025-08-15,6.81,6.95,6.97,6.81,142483,98527950.8
2025-08-18,7.0,6.91,7.02,6.87,248495,172163890.18
2025-08-19,6.92,6.92,6.97,6.89,132670,91907109.01
2025-08-20,6.92,7.08,7.2,6.88,352328,248401009.46
2025-08-21,7.06,7.18,7.25,7.01,375093,267396549.19
2025-08-22,7.16,7.04,7.16,6.98,323801,227749337.54
2025-08-25,7.05,7.05,7.09,7.0,236806,166716643.01
2025-08-26,7.03,7.05,7.12,7.01,181601,128239466.11
2025-08-27,7.06,6.88,7.08,6.87,223366,156037116.15
2025-08-28,6.88,6.92,6.95,6.72,207857,142290945.9
2025-08-29,6.89,6.87,6.97,6.85,113266,78249307.06
2025-09-01,6.93,6.94,7.01,6.83,146966,101951116.43
2025-09-02,6.95,6.86,6.99,6.78,133747,91713994.16
2025-09-03,6.88,6.7,6.95,6.68,130903,89165648.19
2025-09-04,6.71,6.6,6.76,6.56,156614,104594536.21
2025-09-05,6.63,6.68,6.68,6.58,141286,93542269.29
2025-09-08,6.67,6.77,6.77,6.66,110401,74405679.35
2025-09-09,6.74,6.64,6.78,6.63,89360,59686088.0
2025-09-10,6.64,6.73,6.73,6.64,88440,59171324.07
2025-09-11,6.71,6.81,6.87,6.63,176019,118519521.28
2025-09-12,6.78,6.68,6.8,6.66,158250,106176319.88
2025-09-15,6.68,6.72,6.73,6.62,113062,75556773.06
2025-09-16,6.68,6.7,6.73,6.65,91498,61179345.21
2025-09-17,6.7,6.64,6.75,6.64,110333,73711892.97
2025-09-18,6.65,6.54,6.73,6.4,148704,98422666.72
2025-09-19,6.54,6.47,6.58,6.43,106674,69164240.68
2025-09-22,6.47,6.44,6.49,6.39,88016,56474268.9
2025-09-23,6.47,6.39,6.51,6.26,133111,84503589.13
2025-09-24,6.37,6.42,6.46,6.35,87954,56490840.2
2025-09-25,6.42,6.29,6.43,6.28,139720,88451501.1
2025-09-26,6.28,6.34,6.37,6.25,87322,55239812.3
2025-09-29,6.36,6.39,6.41,6.28,103878,66110909.76
2025-09-30,6.39,6.4,6.41,6.37,65543,41852504.6
2025-10-09,6.41,6.49,6.52,6.39,131155,84777253.18
2025-10-10,6.45,6.51,6.55,6.43,114874,74833025.8
2025-10-13,6.39,6.44,6.46,6.28,117138,74791826.46
2025-10-14,6.45,6.48,6.54,6.45,114198,74143679.09
2025-10-15,6.48,6.53,6.55,6.46,89608,58307821.89
2025-10-16,6.53,6.47,6.54,6.44,86750,56192587.06
2025-10-17,6.48,6.38,6.5,6.38,80941,52093710.12
2025-10-20,6.39,7.02,7.02,6.39,307620,206334374.05
2025-10-21,7.72,7.72,7.72,7.72,279429,215718825.16
2025-10-22,8.49,8.49,8.49,8.49,78050,66264093.42
2025-10-23,9.34,9.34,9.34,8.96,2720223,2530662381.23
2025-10-24,9.15,8.41,9.33,8.41,1554108,1338705417.86
2025-10-27,7.69,7.82,8.54,7.57,2078870,1624321456.28
2025-10-28,7.56,7.81,8.24,7.47,1721782,1341776121.59
2025-10-29,7.68,7.5,7.8,7.48,1115491,844223315.83
2025-10-30,7.36,7.21,7.5,7.21,799688,584348282.09
2025-10-31,7.18,7.25,7.51,7.18,658048,481113042.35
2025-11-03,7.23,7.29,7.33,7.2,508344,369390915.5
2025-11-04,7.23,7.22,7.29,7.11,523842,376562486.08
2025-11-05,7.16,7.26,7.3,7.13,425871,308990440.78
2025-11-06,7.24,7.19,7.27,7.17,383176,276227617.53
2025-11-07,7.19,7.17,7.25,7.15,307071,220954358.5
2025-11-10,7.21,7.22,7.22,7.14,279212,200428640.27
2025-11-11,7.22,7.26,7.28,7.17,368863,267316589.71
2025-11-12,7.25,7.5,7.52,7.23,1029412,763235282.25
2025-11-13,7.33,7.43,7.43,7.25,685402,502125447.41
2025-11-14,7.39,7.57,7.8,7.32,838715,629113505.06
2025-11-17,7.53,7.45,7.53,7.36,464990,344894846.28
2025-11-18,7.41,7.22,7.46,7.21,393474,288454778.7
2025-11-19,7.25,7.32,7.42,7.22,383861,282232532.4
2025-11-20,7.31,7.2,7.38,7.15,298158,216207844.37
2025-11-21,7.17,6.9,7.2,6.89,386118,270558487.5
2025-11-24,6.91,6.98,7.02,6.87,207644,144412866.73
2025-11-25,6.99,7.02,7.05,6.95,171280,120088730.44
2025-11-26,6.99,7.04,7.13,6.99,188839,133542807.79
2025-11-27,7.01,7.0,7.06,6.98,130582,91672061.9
2025-11-28,7.03,7.13,7.14,7.01,197585,140306586.4
2025-12-01,7.15,7.26,7.28,7.12,197446,142802499.18
2025-12-02,7.24,7.19,7.25,7.11,135651,97249633.52
2025-12-03,7.18,7.2,7.26,7.12,166784,119988227.12
2025-12-04,7.17,7.07,7.21,7.04,173152,122844980.3
2025-12-05,7.06,7.21,7.21,7.02,146953,105118233.38
2025-12-08,7.23,7.24,7.27,7.16,198135,143101400.15
2025-12-09,7.26,7.17,7.32,7.16,175137,126677817.22
2025-12-10,7.15,7.12,7.2,7.08,123863,88236994.19
2025-12-11,7.14,7.03,7.15,7.01,116445,82259317.0
2025-12-12,7.04,7.12,7.18,7.02,130945,93302110.2
2025-12-15,7.08,7.37,7.45,7.08,413118,302580815.89
2025-12-16,7.34,7.1,7.34,7.06,289605,206758771.35
2025-12-17,7.1,6.99,7.11,6.84,275519,190815623.28
2025-12-18,6.99,7.01,7.08,6.92,134413,94236909.98
2025-12-19,7.0,7.19,7.24,6.95,216479,155012345.27
2025-12-22,7.2,7.22,7.27,7.17,133156,96197784.05
2025-12-23,7.26,7.23,7.33,7.16,144329,104200639.33
2025-12-24,7.23,7.29,7.3,7.17,160326,116181532.55
2025-12-25,7.23,7.27,7.29,7.22,118557,86029181.0
2025-12-26,7.27,7.25,7.3,7.22,178992,130000538.58
2025-12-29,7.24,7.23,7.35,7.16,150062,108785148.3
2025-12-30,7.18,7.17,7.26,7.16,149278,107490971.62
2025-12-31,7.2,7.27,7.33,7.11,229258,165930652.16
2026-01-05,7.45,7.3,7.5,7.26,338196,248088931.33
2026-01-06,7.28,7.4,7.41,7.27,309162,227690452.3
2026-01-07,7.37,7.25,7.37,7.22,241804,175842833.08
2026-01-08,7.23,7.45,7.48,7.22,387729,287557609.83
2026-01-09,7.99,7.75,7.99,7.58,906372,702219647.68
2026-01-12,7.75,7.83,7.92,7.61,587316,456671775.49
2026-01-13,7.8,7.83,8.04,7.77,496654,391408654.82
2026-01-14,7.85,7.94,8.2,7.84,712451,569030101.76
2026-01-15,7.9,7.84,7.9,7.73,416890,325093361.85
2026-01-16,7.78,7.62,7.8,7.59,316140,242330903.61
2026-01-19,7.56,7.7,7.78,7.55,189578,145643824.4
2026-01-20,7.69,7.65,7.83,7.6,189674,145690298.94
2026-01-21,7.59,7.86,7.87,7.54,281107,217943363.96
2026-01-22,7.83,8.04,8.08,7.82,383490,306799903.64
2026-01-23,7.98,8.01,8.05,7.96,297107,237558221.08
2026-01-26,8.02,8.08,8.18,7.99,371460,300306491.93
2026-01-27,8.05,8.2,8.29,7.89,401535,324243928.81
2026-01-28,8.21,8.3,8.41,8.12,453709,376352489.54
2026-01-29,8.22,8.22,8.43,8.15,431120,357187616.17
2026-01-30,8.17,8.1,8.3,7.88,488030,393267371.67
2026-02-02,7.88,7.74,8.01,7.68,301544,235980083.9
2026-02-03,7.82,7.9,7.94,7.7,202364,158804237.08
2026-02-04,7.9,8.33,8.47,7.85,544132,449352626.42
2026-02-05,8.1,8.06,8.27,8.01,317564,257544972.35
2026-02-06,7.95,8.06,8.17,7.81,232557,186393737.1
2026-02-09,8.09,8.02,8.14,7.96,181847,145823794.24
2026-02-10,8.02,7.96,8.12,7.94,183393,147052166.05
2026-02-11,7.92,7.95,7.99,7.9,122868,97681331.0
2026-02-12,7.93,7.88,8.02,7.79,175667,138531481.94
2026-02-13,7.82,7.7,7.86,7.68,186142,144540896.84
2026-02-24,7.83,8.09,8.15,7.83,396138,318939722.13
2026-02-25,8.09,8.13,8.22,8.02,273755,222597231.2
2026-02-26,8.1,8.08,8.24,8.04,139194,112894385.0
2026-02-27,8.07,8.38,8.43,8.03,329590,272535216.87
2026-03-02,8.59,8.72,8.75,8.36,958154,825497147.44
2026-03-03,8.64,8.98,9.58,8.44,1428775,1288392415.15
2026-03-04,8.76,9.02,9.18,8.5,1078779,946096501.13
2026-03-05,8.88,9.08,9.25,8.83,779144,704107896.7
2026-03-06,8.99,8.7,9.11,8.64,569287,499057973.94
2026-03-09,9.18,8.41,9.45,8.36,802450,707743386.51
2026-03-10,8.13,8.09,8.22,7.97,526944,426529859.32
2026-03-11,8.02,7.97,8.06,7.78,440405,347406287.13
2026-03-12,8.08,8.15,8.44,7.93,582234,476241332.54
2026-03-13,8.22,8.01,8.34,7.96,366219,297184770.8
2026-03-16,8.12,7.89,8.24,7.85,284162,227231643.75
2026-03-17,7.99,7.7,8.09,7.67,280817,219347699.73
2026-03-18,7.7,7.58,7.74,7.47,227509,171913888.92
2026-03-19,7.75,7.44,7.8,7.39,264735,199502708.2
2026-03-20,7.38,7.17,7.44,7.14,306666,222655620.8
2026-03-23,7.08,6.76,7.09,6.71,303614,209190186.71
2026-03-24,6.89,6.96,6.98,6.72,267954,183706492.86
2026-03-25,7.01,7.05,7.07,6.86,94121,65509417.88
